company_name,contact_person,address,phone,email,source_url,scraped_at
"NAM/S. PSK ASSOCIATES 42, MALAVIA STREERAM NAGAR COIMBATORE - 641 009",,"NAM/S. PSK ASSOCIATES 42, MALAVIA STREERAM NAGAR COIMBATORE - 641 009",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:37.501949
"M/S. PSK ASSOCIATES 42, MALAVIA STREERAM NAGAR COIMBATORE - 641 009",,"M/S. PSK ASSOCIATES 42, MALAVIA STREERAM NAGAR COIMBATORE - 641 009",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:37.502481
"NAM/S. RAM BUILDERS NO.2, RANI GARDEN, SIHS COLONY ROADSINGANALLUR (PO) COIMBATORE - 641 015",,"NAM/S. RAM BUILDERS NO.2, RANI GARDEN, SIHS COLONY ROADSINGANALLUR (PO) COIMBATORE - 641 015",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:41.206757
"M/S. RAM BUILDERS NO.2, RANI GARDEN, SIHS COLONY ROADSINGANALLUR (PO) COIMBATORE - 641 015",,"M/S. RAM BUILDERS NO.2, RANI GARDEN, SIHS COLONY ROADSINGANALLUR (PO) COIMBATORE - 641 015",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:41.206898
"NAM/S. KARAN BUILDERS NO.60/10, SANJEEVI COMPLEXSIHS COLONY ROAD, SINGANALLUR COIMBATORE - 641 005",,"NAM/S. KARAN BUILDERS NO.60/10, SANJEEVI COMPLEXSIHS COLONY ROAD, SINGANALLUR COIMBATORE - 641 005",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:41.210718
"M/S. KARAN BUILDERS NO.60/10, SANJEEVI COMPLEXSIHS COLONY ROAD, SINGANALLUR COIMBATORE - 641 005",,"M/S. KARAN BUILDERS NO.60/10, SANJEEVI COMPLEXSIHS COLONY ROAD, SINGANALLUR COIMBATORE - 641 005",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:41.210923
"NAM/S. VIGNA VIGNESWARAR ASSOCIATES H.NO.64, GANESH BHAVAN467, D.B. ROAD, R.S. PURAM COIMBATORE - 641 002",,"NAM/S. VIGNA VIGNESWARAR ASSOCIATES H.NO.64, GANESH BHAVAN467, D.B. ROAD, R.S. PURAM COIMBATORE - 641 002",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:41.211511
"M/S. VIGNA VIGNESWARAR ASSOCIATES H.NO.64, GANESH BHAVAN467, D.B. ROAD, R.S. PURAM COIMBATORE - 641 002",,"M/S. VIGNA VIGNESWARAR ASSOCIATES H.NO.64, GANESH BHAVAN467, D.B. ROAD, R.S. PURAM COIMBATORE - 641 002",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:41.211615
"NAM/S. GANESHAMURTHY & ASSOCIATES 363, NANJUNDAPURAM ROADRAMANATHAPURAM COIMBATORE - 641 045",,"NAM/S. GANESHAMURTHY & ASSOCIATES 363, NANJUNDAPURAM ROADRAMANATHAPURAM COIMBATORE - 641 045",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:46.329577
"M/S. GANESHAMURTHY & ASSOCIATES 363, NANJUNDAPURAM ROADRAMANATHAPURAM COIMBATORE - 641 045",,"M/S. GANESHAMURTHY & ASSOCIATES 363, NANJUNDAPURAM ROADRAMANATHAPURAM COIMBATORE - 641 045",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:46.329696
"NAM/S. ARRANR'S BUILDERS NO.1A, 2ND ST. VNR NAGARVADAVALLI COIMBATORE - 641 041",,"NAM/S. ARRANR'S BUILDERS NO.1A, 2ND ST. VNR NAGARVADAVALLI COIMBATORE - 641 041",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:46.333263
"M/S. ARRANR'S BUILDERS NO.1A, 2ND ST. VNR NAGARVADAVALLI COIMBATORE - 641 041",,"M/S. ARRANR'S BUILDERS NO.1A, 2ND ST. VNR NAGARVADAVALLI COIMBATORE - 641 041",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:46.333359
"NAM/S. RAM BUILDERS 355-B, S.S. COMPLEX, KAMARAJ ROADUPPILIPALAYAM (PO), VARATARAJAPURAM COIMBATORE - 641 015",,"NAM/S. RAM BUILDERS 355-B, S.S. COMPLEX, KAMARAJ ROADUPPILIPALAYAM (PO), VARATARAJAPURAM COIMBATORE - 641 015",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:46.335368
"M/S. RAM BUILDERS 355-B, S.S. COMPLEX, KAMARAJ ROADUPPILIPALAYAM (PO), VARATARAJAPURAM COIMBATORE - 641 015",,"M/S. RAM BUILDERS 355-B, S.S. COMPLEX, KAMARAJ ROADUPPILIPALAYAM (PO), VARATARAJAPURAM COIMBATORE - 641 015",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:46.335459
"NASRI MOOKAMBIGAI CONSTRUCTIONS (I) PVT. LTD. 320, SRINIVASA COMPLEXN.S.R. ROAD, SAIBABA COLONY COIMBATORE - 641 011",,"NASRI MOOKAMBIGAI CONSTRUCTIONS (I) PVT. LTD. 320, SRINIVASA COMPLEXN.S.R. ROAD, SAIBABA COLONY COIMBATORE - 641 011",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:46.336185
"SRI MOOKAMBIGAI CONSTRUCTIONS (I) PVT. LTD. 320, SRINIVASA COMPLEXN.S.R. ROAD, SAIBABA COLONY COIMBATORE - 641 011",,"SRI MOOKAMBIGAI CONSTRUCTIONS (I) PVT. LTD. 320, SRINIVASA COMPLEXN.S.R. ROAD, SAIBABA COLONY COIMBATORE - 641 011",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:46.336283
"NAW/O. K. MARUTHASALAM C/O. J.B.S. CONSTRUCTIONSNO.4/61, KARUMBAPALAYAM, MADUKKARAI COIMBATORE - 641 105",,"NAW/O. K. MARUTHASALAM C/O. J.B.S. CONSTRUCTIONSNO.4/61, KARUMBAPALAYAM, MADUKKARAI COIMBATORE - 641 105",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:52.125057
"W/O. K. MARUTHASALAM C/O. J.B.S. CONSTRUCTIONSNO.4/61, KARUMBAPALAYAM, MADUKKARAI COIMBATORE - 641 105",,"W/O. K. MARUTHASALAM C/O. J.B.S. CONSTRUCTIONSNO.4/61, KARUMBAPALAYAM, MADUKKARAI COIMBATORE - 641 105",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:52.125161
"NAM/S. SENTHIL CONSTRUCTION 392, S.S. COMPLEXCROSS CUT ROAD, GANDHI PURAM COIMBATORE - 641 012",,"NAM/S. SENTHIL CONSTRUCTION 392, S.S. COMPLEXCROSS CUT ROAD, GANDHI PURAM COIMBATORE - 641 012",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:59.053576
"M/S. SENTHIL CONSTRUCTION 392, S.S. COMPLEXCROSS CUT ROAD, GANDHI PURAM COIMBATORE - 641 012",,"M/S. SENTHIL CONSTRUCTION 392, S.S. COMPLEXCROSS CUT ROAD, GANDHI PURAM COIMBATORE - 641 012",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:59.053758
"NAM/S. SHREE MAHALAKSHMI PROPERTY DEVELOPERS NO.B-6/3, CRIMSON DAWN, NAVA INDIAAVINASHRI ROAD COIMBATORE - 641 004",,"NAM/S. SHREE MAHALAKSHMI PROPERTY DEVELOPERS NO.B-6/3, CRIMSON DAWN, NAVA INDIAAVINASHRI ROAD COIMBATORE - 641 004",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:59.053990
"M/S. SHREE MAHALAKSHMI PROPERTY DEVELOPERS NO.B-6/3, CRIMSON DAWN, NAVA INDIAAVINASHRI ROAD COIMBATORE - 641 004",,"M/S. SHREE MAHALAKSHMI PROPERTY DEVELOPERS NO.B-6/3, CRIMSON DAWN, NAVA INDIAAVINASHRI ROAD COIMBATORE - 641 004",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:59.054087
"NAM/S. KOVAI BUILDERS NO.28, V.C.K. LAYOUTTRICHY ROAD COIMBATORE - 641 018",,"NAM/S. KOVAI BUILDERS NO.28, V.C.K. LAYOUTTRICHY ROAD COIMBATORE - 641 018",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:59.057637
"M/S. KOVAI BUILDERS NO.28, V.C.K. LAYOUTTRICHY ROAD COIMBATORE - 641 018",,"M/S. KOVAI BUILDERS NO.28, V.C.K. LAYOUTTRICHY ROAD COIMBATORE - 641 018",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:59.057733
"NARR PROMOTERS 117A, VOC ROADR.S. PURAM COIMBATORE - 641 002",,"NARR PROMOTERS 117A, VOC ROADR.S. PURAM COIMBATORE - 641 002",,,https://baionline.in/committee_member/coimbatore,2025-09-12T13:32:59.058208
